                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                 1.9847,                 2.3838,                 2.5892,                0.55781,                0.68581,                0.63322,                0.32687,                 1.9024,                 1.8432,                 2.4772,              0.0005149,              0.0005149,              0.0005149
                    101,                 1.9497,                 2.3052,                 2.5339,                0.51523,                0.71764,                0.67205,                0.34979,                 1.8706,                 1.8383,                  2.453,             0.00050995,             0.00050995,             0.00050995
                    102,                 1.9369,                 2.3499,                 2.4935,                0.51739,                 0.5807,                0.63536,                0.27834,                 1.9452,                 2.0951,                 2.5479,               0.000505,               0.000505,               0.000505
                    103,                 1.9941,                 2.4789,                 2.5444,                0.51995,                0.59207,                0.67255,                0.34886,                 1.8778,                 2.0798,                  2.439,             0.00050005,             0.00050005,             0.00050005
                    104,                 1.9263,                 2.4036,                 2.4595,                0.69194,                0.49888,                0.64847,                0.32242,                 1.8897,                 2.0273,                 2.4678,              0.0004951,              0.0004951,              0.0004951
                    105,                 1.9402,                 2.5851,                 2.5242,                0.62179,                0.55831,                0.64835,                0.33971,                 1.8347,                 1.9318,                 2.3899,             0.00049015,             0.00049015,             0.00049015
                    106,                 1.9865,                 2.3694,                 2.4972,                 0.5361,                0.64176,                 0.6687,                0.35841,                 1.8739,                 1.8152,                 2.4449,              0.0004852,              0.0004852,              0.0004852
                    107,                 1.8826,                 2.3193,                 2.4744,                0.66061,                0.60438,                0.67416,                0.33228,                 1.9857,                 1.9025,                 2.5957,             0.00048025,             0.00048025,             0.00048025
                    108,                 1.9288,                 2.3967,                  2.502,                0.57229,                0.71878,                0.70835,                0.37507,                 1.8596,                 1.9903,                 2.4232,              0.0004753,              0.0004753,              0.0004753
                    109,                 1.9238,                 2.2766,                  2.481,                0.65685,                 0.5601,                0.68571,                0.38133,                 1.8314,                 2.0086,                 2.4124,             0.00047035,             0.00047035,             0.00047035
                    110,                 1.8904,                 2.3293,                 2.4574,                0.56168,                 0.5976,                0.64476,                0.32112,                 1.9575,                 2.0241,                 2.5975,              0.0004654,              0.0004654,              0.0004654
                    111,                 1.9215,                 2.3048,                 2.4685,                0.60244,                0.62505,                0.65447,                  0.322,                 2.0037,                 1.8692,                 2.6715,             0.00046045,             0.00046045,             0.00046045
                    112,                 1.8488,                 2.2922,                 2.4258,                0.59806,                0.66259,                0.68493,                0.35456,                 1.9236,                 1.8484,                  2.545,              0.0004555,              0.0004555,              0.0004555
                    113,                 1.8627,                 2.3369,                 2.4697,                0.64703,                0.53969,                0.64015,                0.33327,                 1.8859,                 1.8842,                 2.4457,             0.00045055,             0.00045055,             0.00045055
                    114,                 1.9467,                 2.3927,                 2.5072,                0.67772,                0.62837,                0.67625,                 0.3411,                 1.8522,                 1.9267,                 2.4217,              0.0004456,              0.0004456,              0.0004456
                    115,                 1.9095,                 2.2303,                 2.4517,                0.66898,                0.62912,                0.67603,                0.33507,                  1.897,                 1.9325,                 2.4885,             0.00044065,             0.00044065,             0.00044065
                    116,                 1.8921,                 2.3081,                 2.4664,                0.61923,                0.64217,                0.65842,                0.34843,                 1.8133,                 1.8031,                 2.3789,              0.0004357,              0.0004357,              0.0004357
                    117,                 1.8453,                 2.2384,                 2.4324,                0.59966,                0.65162,                0.66762,                  0.361,                 1.8119,                 1.7978,                 2.3349,             0.00043075,             0.00043075,             0.00043075
                    118,                 1.8957,                 2.3472,                 2.4131,                0.60293,                0.60597,                0.64581,                0.36158,                 1.7859,                 1.8443,                 2.3045,              0.0004258,              0.0004258,              0.0004258
                    119,                 1.7932,                 2.2597,                 2.3885,                0.51343,                0.68461,                0.62651,                0.34664,                 1.7862,                 1.8841,                 2.3694,             0.00042085,             0.00042085,             0.00042085
                    120,                 1.8034,                 2.2251,                 2.3906,                 0.5926,                0.53361,                0.64917,                0.34534,                  1.801,                 1.8411,                  2.417,              0.0004159,              0.0004159,              0.0004159
                    121,                 1.8409,                 2.3359,                 2.4482,                0.49452,                0.65077,                0.61196,                0.32834,                 1.8191,                 1.8749,                 2.4086,             0.00041095,             0.00041095,             0.00041095
                    122,                 1.8725,                 2.3378,                 2.4595,                   0.63,                0.57768,                0.63652,                 0.3487,                 1.8649,                 1.8798,                 2.4806,               0.000406,               0.000406,               0.000406
                    123,                 1.8428,                  2.234,                  2.454,                0.66762,                0.61301,                 0.6802,                 0.3459,                 1.8495,                 1.8187,                 2.4426,             0.00040105,             0.00040105,             0.00040105
