                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                 1.4417,                 1.3368,                  1.936,                 0.6676,                0.77553,                0.77762,                0.38404,                 1.9337,                 1.3855,                  2.578,             0.00016675,             0.00016675,             0.00016675
                    103,                 1.4751,                 1.3778,                 1.9542,                0.68228,                0.78192,                0.80418,                0.39459,                 1.8857,                 1.3544,                 2.5381,              0.0001585,              0.0001585,              0.0001585
                    104,                  1.415,                 1.2782,                 1.9403,                0.71933,                0.75142,                 0.8053,                0.39889,                 1.8887,                 1.3155,                 2.5473,             0.00015025,             0.00015025,             0.00015025
                    105,                 1.4538,                 1.3063,                 1.9586,                0.64693,                0.77565,                0.78647,                0.39191,                 1.8939,                 1.3836,                 2.5394,               0.000142,               0.000142,               0.000142
                    106,                  1.438,                 1.3657,                 1.9229,                0.68474,                0.77661,                0.79787,                0.41168,                 1.8272,                 1.3377,                 2.4754,             0.00013375,             0.00013375,             0.00013375
                    107,                 1.4388,                 1.3427,                 1.9324,                0.73575,                0.78328,                0.81223,                0.39233,                 1.8767,                 1.3403,                 2.5133,              0.0001255,              0.0001255,              0.0001255
                    108,                 1.4324,                 1.3243,                 1.9329,                0.69563,                0.79182,                0.81808,                0.43124,                 1.7868,                 1.2891,                 2.4088,             0.00011725,             0.00011725,             0.00011725
                    109,                 1.4254,                 1.2749,                 1.9246,                0.70471,                0.76511,                  0.799,                0.41442,                 1.8297,                 1.3336,                 2.4627,               0.000109,               0.000109,               0.000109
                    110,                 1.4485,                 1.3018,                 1.9553,                 0.7342,                0.77014,                0.80657,                0.41661,                 1.8287,                  1.317,                 2.4543,             0.00010075,             0.00010075,             0.00010075
                    111,                 1.3987,                 1.2083,                 1.9655,                0.73623,                0.78492,                0.80244,                0.40206,                 1.8713,                 1.3642,                 2.5354,               9.25e-05,               9.25e-05,               9.25e-05
                    112,                 1.3621,                 1.1494,                 2.0229,                 0.7467,                0.77984,                 0.7985,                0.40025,                 1.8667,                 1.3278,                 2.5345,              8.425e-05,              8.425e-05,              8.425e-05
                    113,                 1.3929,                 1.1884,                 1.9437,                0.68786,                 0.7787,                0.79909,                0.41808,                  1.832,                   1.32,                 2.5049,                7.6e-05,                7.6e-05,                7.6e-05
                    114,                 1.3424,                 1.1517,                 1.9217,                0.69163,                0.77815,                0.79404,                0.41794,                 1.8315,                 1.3319,                 2.5117,              6.775e-05,              6.775e-05,              6.775e-05
                    115,                 1.3846,                  1.215,                  1.963,                0.71075,                0.79359,                0.79786,                0.40709,                 1.8578,                 1.3268,                  2.541,               5.95e-05,               5.95e-05,               5.95e-05
                    116,                 1.3615,                 1.1592,                 1.9513,                0.70294,                0.78574,                0.80084,                0.40645,                 1.8752,                 1.3482,                 2.5972,              5.125e-05,              5.125e-05,              5.125e-05
                    117,                 1.3597,                 1.1695,                 1.9299,                0.70456,                0.78594,                0.79911,                0.41314,                 1.8474,                 1.3451,                 2.5448,                4.3e-05,                4.3e-05,                4.3e-05
                    118,                 1.3385,                 1.1445,                  1.925,                0.71949,                0.79169,                0.80643,                0.41116,                   1.85,                 1.3323,                 2.5243,              3.475e-05,              3.475e-05,              3.475e-05
                    119,                 1.3667,                 1.1717,                 1.9655,                0.73138,                0.78752,                0.80816,                0.42101,                 1.8328,                 1.3093,                 2.5171,               2.65e-05,               2.65e-05,               2.65e-05
                    120,                 1.3218,                 1.1558,                 1.8791,                0.71362,                0.79744,                0.80301,                0.41871,                 1.8428,                 1.3128,                  2.517,              1.825e-05,              1.825e-05,              1.825e-05
